ID	genus	species	family	suborder	order	subclass	class	subphylum	phylum	infrakingdom	subkingdom	kingdom	LifeStage	Qualifier
154	Lucicutia.flavicornis	Lucicutia	Lucicutia flavicornis	Lucicutiidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
155	Lucicutia.sp.	Lucicutia	NA	Lucicutiidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
156	Maupasia.sp.	Maupasia	NA	Lopadorrhynchidae	Phyllodociformia	Phyllodocida	Errantia	Polychaeta	NA	Annelida	NA	NA	Animalia	NA	sp
157	Mecynocera.clausi	Mecynocera	Mecynocera clausi	Paracalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
158	Mecynocera.sp.	Mecynocera	NA	Paracalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
159	Mesocalanus.sp.	Mesocalanus	NA	Calanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
160	Mesocalanus.tenuicornis	Mesocalanus	Mesocalanus tenuicornis	Calanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
161	Metridia.gerlachei	Metridia	Metridia gerlachei	Metridinidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
162	Metridia.lucens	Metridia	Metridia lucens	Metridinidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
163	Metridia.sp.	Metridia	NA	Metridinidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
164	Microcalanus.pygmaeus	Microcalanus	Microcalanus pygmaeus	Clausocalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
165	Microsetella.norvegica	Microsetella	Microsetella norvegica	Ectinosomatidae	NA	Harpacticoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
166	Microsetella.rosea	Microsetella	Microsetella rosea	Ectinosomatidae	NA	Harpacticoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
167	Microsetella.sp.	Microsetella	NA	Ectinosomatidae	NA	Harpacticoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
168	Munida.gregaria	Munida	Munida gregaria	Munididae	Pleocyemata	Decapoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
169	Myctophidae.indet	NA	NA	Myctophidae	NA	Myctophiformes	NA	Teleostei	Vertebrata	Chordata	NA	NA	Animalia	NA	indet
170	Mysidae.indet	NA	NA	Mysidae	NA	Mysida	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	indet
171	Nannocalanus.minor	Nannocalanus	Nannocalanus minor	Calanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
172	Nauplius.indet	Nauplius	NA	Alpheidae	Pleocyemata	Decapoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	indet
173	Nematocarcinus.longirostris	Nematocarcinus	Nematocarcinus longirostris	Nematocarcinidae	Pleocyemata	Decapoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
174	Neocalanus.gracilis	Neocalanus	Neocalanus gracilis	Calanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
175	Neocalanus.tonsus	Neocalanus	Neocalanus tonsus	Calanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
176	Neogloboquadrina.incompta	Neogloboquadrina	Neogloboquadrina incompta	Globorotaliidae	Globigerinina	Rotaliida	Rotaliana	Globothalamea	NA	Foraminifera	Rhizaria	Harosa	Chromista	NA	NA
177	Neogloboquadrina.pachyderma	Neogloboquadrina	Neogloboquadrina pachyderma	Globorotaliidae	Globigerinina	Rotaliida	Rotaliana	Globothalamea	NA	Foraminifera	Rhizaria	Harosa	Chromista	NA	NA
178	Noctiluca.scintillans	Noctiluca	Noctiluca scintillans	Noctilucaceae	NA	Noctilucales	NA	Dinophyceae	Dinozoa	Myzozoa	Alveolata	Harosa	Chromista	NA	NA
179	Nyctiphanes.australis	Nyctiphanes	Nyctiphanes australis	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
180	Nyctiphanes.australis.calyptopis	Nyctiphanes	Nyctiphanes australis	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	calyptopis	NA
181	Nyctiphanes.australis.furcilia	Nyctiphanes	Nyctiphanes australis	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	furcilia	NA
182	Oculosetella.gracilis	Oculosetella	Oculosetella gracilis	Miraciidae	NA	Harpacticoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
183	Oikopleura.sp.	Oikopleura	NA	Oikopleuridae	NA	Copelata	NA	Appendicularia	Tunicata	Chordata	NA	NA	Animalia	NA	sp
184	Oithona.atlantica	Oithona	Oithona atlantica	Oithonidae	Oithonida	Cyclopoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
185	Oithona.frigida	Oithona	Oithona frigida	Oithonidae	Oithonida	Cyclopoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
186	Oithona.longispina	Oithona	Oithona longispina	Oithonidae	Oithonida	Cyclopoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
187	Oithona.similis	Oithona	Oithona similis	Oithonidae	Oithonida	Cyclopoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
188	Oithona.sp.	Oithona	NA	Oithonidae	Oithonida	Cyclopoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
189	Oncaea.curvata	Oncaea	Oncaea curvata	Oncaeidae	Ergasilida	Cyclopoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
190	Oncaea.mediterranea	Oncaea	Oncaea mediterranea	Oncaeidae	Ergasilida	Cyclopoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
191	Oncaea.sp.	Oncaea	NA	Oncaeidae	Ergasilida	Cyclopoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
192	Oncaea.venusta.typica	Oncaea	Oncaea venusta	Oncaeidae	Ergasilida	Cyclopoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
193	Onchocalanus.sp.	Onchocalanus	NA	Phaennidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
194	Orcadia.riedeli	Orcadia	Orcadia riedeli	Hastigerinidae	Globigerinina	Rotaliida	Rotaliana	Globothalamea	NA	Foraminifera	Rhizaria	Harosa	Chromista	NA	NA
195	Ostracoda.indet	NA	NA	NA	NA	NA	NA	Ostracoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	indet
196	Paracalanus.aculeatus	Paracalanus	Paracalanus aculeatus	Paracalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
197	Paracalanus.indicus	Paracalanus	Paracalanus indicus	Paracalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
198	Paracalanus.sp.	Paracalanus	NA	Paracalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
199	Paraeuchaeta.antarctica	Paraeuchaeta	Paraeuchaeta antarctica	Euchaetidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
200	Paraeuchaeta.barbata	Paraeuchaeta	Paraeuchaeta barbata	Euchaetidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
201	Paraeuchaeta.biloba	Paraeuchaeta	Paraeuchaeta biloba	Euchaetidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
202	Paraeuchaeta.exigua	Paraeuchaeta	Paraeuchaeta exigua	Euchaetidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
203	Paraeuchaeta.sp.	Paraeuchaeta	NA	Euchaetidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
204	Paraheterorhabdus.farrani	Paraheterorhabdus	Paraheterorhabdus farrani	Heterorhabdidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
205	Paralabidocera.antarctica	Paralabidocera	Paralabidocera antarctica	Acartiidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
206	Pelagobia.longicirrata	Pelagobia	Pelagobia longicirrata	Lopadorrhynchidae	Phyllodociformia	Phyllodocida	Errantia	Polychaeta	NA	Annelida	NA	NA	Animalia	NA	NA
207	Phalacrophorus.pictus	Phalacrophorus	Phalacrophorus pictus	Iospilidae	Phyllodocida incertae sedis	Phyllodocida	Errantia	Polychaeta	NA	Annelida	NA	NA	Animalia	NA	NA
208	Phalacrophorus.sp.	Phalacrophorus	NA	Iospilidae	Phyllodocida incertae sedis	Phyllodocida	Errantia	Polychaeta	NA	Annelida	NA	NA	Animalia	NA	sp
209	Phronima.sp.	Phronima	NA	Phronimidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
210	Pisces.egg	NA	NA	NA	NA	NA	NA	NA	Vertebrata	Chordata	NA	NA	Animalia	egg	NA
211	Pisces.larvae	NA	NA	NA	NA	NA	NA	NA	Vertebrata	Chordata	NA	NA	Animalia	larvae	NA
212	Platysceloidea.indet	NA	NA	NA	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	indet
213	Pleuragramma.antarctica	Pleuragramma	Pleuragramma antarctica	Nototheniidae	Notothenioidei	Perciformes	NA	Teleostei	Vertebrata	Chordata	NA	NA	Animalia	NA	NA
214	Pleuromamma.abdominalis	Pleuromamma	Pleuromamma abdominalis	Metridinidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
215	Pleuromamma.borealis	Pleuromamma	Pleuromamma borealis	Metridinidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
216	Pleuromamma.gracilis	Pleuromamma	Pleuromamma gracilis	Metridinidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
217	Pleuromamma.piseki	Pleuromamma	Pleuromamma piseki	Metridinidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
218	Pleuromamma.robusta	Pleuromamma	Pleuromamma robusta	Metridinidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
219	Pleuromamma.sp.	Pleuromamma	NA	Metridinidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
220	Pleuromamma.xiphias	Pleuromamma	Pleuromamma xiphias	Metridinidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
221	Podon.sp.	Podon	NA	Podonidae	NA	Onychopoda	Phyllopoda	Branchiopoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
222	Polychaeta.indet	NA	NA	NA	NA	NA	NA	Polychaeta	NA	Annelida	NA	NA	Animalia	NA	indet
223	Polychaeta.larvae	NA	NA	NA	NA	NA	NA	Polychaeta	NA	Annelida	NA	NA	Animalia	larvae	NA
224	Primno.macropa	Primno	Primno macropa	Phrosinidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
225	Protomyctophum.sp.	Protomyctophum	NA	Myctophidae	NA	Myctophiformes	NA	Teleostei	Vertebrata	Chordata	NA	NA	Animalia	NA	sp
226	Pseudosagitta.gazellae	Pseudosagitta	Pseudosagitta gazellae	Sagittidae	NA	Aphragmophora	NA	Sagittoidea	NA	Chaetognatha	NA	NA	Animalia	NA	NA
227	Pseudosagitta.sp.	Pseudosagitta	NA	Sagittidae	NA	Aphragmophora	NA	Sagittoidea	NA	Chaetognatha	NA	NA	Animalia	NA	sp
228	Pteropoda.indet	NA	NA	NA	NA	Pteropoda	Heterobranchia	Gastropoda	NA	Mollusca	NA	NA	Animalia	NA	indet
229	Pyrosomatidae.indet	NA	NA	Pyrosomatidae	NA	Pyrosomatida	NA	Thaliacea	Tunicata	Chordata	NA	NA	Animalia	NA	indet
230	Radiozoa.indet	NA	NA	NA	NA	NA	NA	NA	NA	Radiozoa	Rhizaria	Harosa	Chromista	NA	indet
231	Rhincalanus.gigas	Rhincalanus	Rhincalanus gigas	Rhincalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
232	Rhincalanus.gigas.nauplius	Rhincalanus	Rhincalanus gigas	Rhincalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	nauplius	NA
233	Rhincalanus.nasutus	Rhincalanus	Rhincalanus nasutus	Rhincalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
234	Rhincalanus.sp.	Rhincalanus	NA	Rhincalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
235	Sagittidae.indet	NA	NA	Sagittidae	NA	Aphragmophora	NA	Sagittoidea	NA	Chaetognatha	NA	NA	Animalia	NA	indet
236	Salpa.fusiformis	Salpa	Salpa fusiformis	Salpidae	NA	Salpida	NA	Thaliacea	Tunicata	Chordata	NA	NA	Animalia	NA	NA
237	Salpa.thompsoni	Salpa	Salpa thompsoni	Salpidae	NA	Salpida	NA	Thaliacea	Tunicata	Chordata	NA	NA	Animalia	NA	NA
238	Salpidae.indet	NA	NA	Salpidae	NA	Salpida	NA	Thaliacea	Tunicata	Chordata	NA	NA	Animalia	NA	indet
239	Sapphirina.nigromaculata	Sapphirina	Sapphirina nigromaculata	Sapphirinidae	Ergasilida	Cyclopoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
240	Sapphirina.sp.	Sapphirina	NA	Sapphirinidae	Ergasilida	Cyclopoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
241	Scaphocalanus.echinatus	Scaphocalanus	Scaphocalanus echinatus	Scolecitrichidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
242	Scaphocalanus.farrani	Scaphocalanus	Scaphocalanus farrani	Scolecitrichidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
243	Scina.sp.	Scina	NA	Scinidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
244	Scolecithricella.minor	Scolecithricella	Scolecithricella minor	Scolecitrichidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
245	Scolecithricella.sp.	Scolecithricella	NA	Scolecitrichidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
246	Sergestidae.indet	NA	NA	Sergestidae	Dendrobranchiata	Decapoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	indet
247	Siphonophorae.nectophore	NA	NA	NA	NA	Siphonophorae	Hydroidolina	Hydrozoa	Medusozoa	Cnidaria	NA	NA	Animalia	nectophore	NA
248	Siphonophorae.sp.	NA	NA	NA	NA	Siphonophorae	Hydroidolina	Hydrozoa	Medusozoa	Cnidaria	NA	NA	Animalia	NA	sp
249	Soestia.zonaria	Soestia	Soestia zonaria	Salpidae	NA	Salpida	NA	Thaliacea	Tunicata	Chordata	NA	NA	Animalia	NA	NA
250	Solidosagitta.marri	Solidosagitta	Solidosagitta marri	Sagittidae	NA	Aphragmophora	NA	Sagittoidea	NA	Chaetognatha	NA	NA	Animalia	NA	NA
251	Solmundella.bitentaculata	Solmundella	Solmundella bitentaculata	Solmundaeginidae	NA	Narcomedusae	Trachylinae	Hydrozoa	Medusozoa	Cnidaria	NA	NA	Animalia	NA	NA
252	Spongiobranchaea.australis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
253	Squilla.sp.	Squilla	NA	Squillidae	Unipeltata	Stomatopoda	Hoplocarida	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
254	Stephos.longipes	Stephos	Stephos longipes	Stephidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
255	Subeucalanus.longiceps	Subeucalanus	Subeucalanus longiceps	Eucalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
256	Subeucalanus.sp.	Subeucalanus	NA	Eucalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
257	Sulcanus.conflictus	Sulcanus	Sulcanus conflictus	Sulcanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
258	Temora.turbinata	Temora	Temora turbinata	Temoridae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
259	Teuthida.indet	NA	NA	NA	NA	Teuthida	Coleoidea	Cephalopoda	NA	Mollusca	NA	NA	Animalia	NA	indet
260	Thalia.sp.	Thalia	NA	Salpidae	NA	Salpida	NA	Thaliacea	Tunicata	Chordata	NA	NA	Animalia	NA	sp
261	Themisto.australis	Themisto	Themisto australis	Hyperiidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
262	Themisto.gaudichaudii	Themisto	Themisto gaudichaudii	Hyperiidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
263	Themisto.sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
264	Thysanoessa.gregaria	Thysanoessa	Thysanoessa gregaria	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
265	Thysanoessa.gregaria.calyptopis	Thysanoessa	Thysanoessa gregaria	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	calyptopis	NA
266	Thysanoessa.gregaria.furcilia	Thysanoessa	Thysanoessa gregaria	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	furcilia	NA
267	Thysanoessa.macrura	Thysanoessa	Thysanoessa macrura	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
268	Thysanoessa.macrura.C1	Thysanoessa	Thysanoessa macrura	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	C1	NA
269	Thysanoessa.macrura.C2	Thysanoessa	Thysanoessa macrura	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	C2	NA
270	Thysanoessa.macrura.C3	Thysanoessa	Thysanoessa macrura	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	C3	NA
271	Thysanoessa.macrura.calyptopis	Thysanoessa	Thysanoessa macrura	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	calyptopis	NA
272	Thysanoessa.macrura.F1	Thysanoessa	Thysanoessa macrura	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	F1	NA
273	Thysanoessa.macrura.F2	Thysanoessa	Thysanoessa macrura	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	F2	NA
274	Thysanoessa.macrura.F3	Thysanoessa	Thysanoessa macrura	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	F3	NA
275	Thysanoessa.macrura.F4	Thysanoessa	Thysanoessa macrura	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	F4	NA
276	Thysanoessa.macrura.F5	Thysanoessa	Thysanoessa macrura	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	F5	NA
277	Thysanoessa.macrura.F6	Thysanoessa	Thysanoessa macrura	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	F6	NA
278	Thysanoessa.macrura.furcilia	Thysanoessa	Thysanoessa macrura	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	furcilia	NA
279	Thysanoessa.macrura.metanauplius	Thysanoessa	Thysanoessa macrura	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	metanauplius	NA
280	Thysanoessa.sp.	Thysanoessa	NA	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
281	Thysanoessa.sp..furcilia	Thysanoessa	NA	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	furcilia	sp
282	Tintinnina.indet	NA	NA	NA	Tintinnina	Choreotrichida	Oligotrichia	Oligotrichea	Intramacronucleata	Ciliophora	Alveolata	Harosa	Chromista	NA	indet
283	Tomopteris.carpenteri	Tomopteris	Tomopteris carpenteri	Tomopteridae	Phyllodocida incertae sedis	Phyllodocida	Errantia	Polychaeta	NA	Annelida	NA	NA	Animalia	NA	NA
284	Tomopteris.sp.	Tomopteris	NA	Tomopteridae	Phyllodocida incertae sedis	Phyllodocida	Errantia	Polychaeta	NA	Annelida	NA	NA	Animalia	NA	sp
285	Travisiopsis.levinseni	Travisiopsis	Travisiopsis levinseni	Typhloscolecidae	Phyllodocida incertae sedis	Phyllodocida	Errantia	Polychaeta	NA	Annelida	NA	NA	Animalia	NA	NA
286	Travisiopsis.sp.	Travisiopsis	NA	Typhloscolecidae	Phyllodocida incertae sedis	Phyllodocida	Errantia	Polychaeta	NA	Annelida	NA	NA	Animalia	NA	sp
287	Triconia.antarctica	Triconia	Triconia antarctica	Oncaeidae	Ergasilida	Cyclopoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
288	Turborotalita.quinqueloba	Turborotalita	Turborotalita quinqueloba	Globigerinidae	Globigerinina	Rotaliida	Rotaliana	Globothalamea	NA	Foraminifera	Rhizaria	Harosa	Chromista	NA	NA
289	Typhloscolex.muelleri	Typhloscolex	Typhloscolex muelleri	Typhloscolecidae	Phyllodocida incertae sedis	Phyllodocida	Errantia	Polychaeta	NA	Annelida	NA	NA	Animalia	NA	NA
290	Vanadis.antarctica	Vanadis	Vanadis antarctica	Phyllodocidae	Phyllodociformia	Phyllodocida	Errantia	Polychaeta	NA	Annelida	NA	NA	Animalia	NA	NA
291	Vanadis.longissima	Vanadis	Vanadis longissima	Phyllodocidae	Phyllodociformia	Phyllodocida	Errantia	Polychaeta	NA	Annelida	NA	NA	Animalia	NA	NA
292	Vibilia.antarctica	Vibilia	Vibilia antarctica	Vibiliidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
293	Vibilia.armata	Vibilia	Vibilia armata	Vibiliidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
294	Vibilia.sp.	Vibilia	NA	Vibiliidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
295	Appendicularia.indet	Appendicularia	NA	NA	NA	NA	NA	Appendicularia	NA	Chordata	NA	NA	Animalia	NA	indet
296	Clione.sp.	Clione	NA	Clionidae	NA	Pteropoda	NA	Gastropoda	NA	Mollusca	NA	NA	Animalia	NA	sp
297	Ctenophora.indet	NA	NA	NA	NA	NA	NA	NA	NA	Ctenophora	NA	NA	Animalia	NA	indet
298	Hyperia.sp.	Hyperia	NA	Hyperiidae	NA	Amphipoda	NA	Malacostraca	NA	Arthropoda	NA	NA	Animalia	NA	sp
299	Spongiobranchaea.australis	Spongiobranchaea	australis	Pneumodermatidae	NA	Pteropoda	NA	Gastropoda	NA	Mollusca	NA	NA	Animalia	NA	NA
300	Themisto.sp.	Themisto	NA	Hyperiidae	NA	Amphipoda	NA	Malacostraca	NA	Arthropoda	NA	NA	Animalia	NA	sp
